2.0000000000e+00 2.2825430228e-01 1.8378858654e-01 2.2232857868e-02 1.0926130060e-03
4.0000000000e+00 1.1024776768e-01 9.9026593270e-02 5.6105872036e-03 6.9830315418e-05
8.0000000000e+00 5.3929431539e-02 5.1117554707e-02 1.4059384159e-03 4.3888199444e-06
1.6000000000e+01 2.6639100121e-02 2.5935718887e-02 3.5169061712e-04 2.7468419816e-07
3.2000000000e+01 1.3234849721e-02 1.3058978652e-02 8.7935534592e-05 1.7173752087e-08
6.4000000000e+01 6.5958430104e-03 6.5518736329e-03 2.1984688737e-05 1.0734525491e-09
1.2800000000e+02 3.2924755384e-03 3.2814830934e-03 5.4962225007e-06 6.7089556133e-11
2.5600000000e+02 1.6448699862e-03 1.6421218686e-03 1.3740587703e-06 4.1864289813e-12
5.1200000000e+02 8.2209226226e-04 8.2140523248e-04 3.4351488543e-07 2.5235369350e-13
1.0240000000e+03 4.1096035041e-04 4.1078859287e-04 8.5878768541e-08 5.3401727484e-14
